site_ID,pressure_zone_name,pressure_zone_elevation,connections_count,location_description,lat,lng,frequency_sampled
338 SYS,Liberty Station,175,228,2850 Wasp Way,32.7286527777778,-117.222875,Weekly
66 SYS,Lower Del Mar Terrace,196,195,Via Cortina/Via Aprilia Sample Stanchion,32.9343305555556,-117.252688888889,Weekly
322 SYS,Rosecrans,225,237,2305 1/2 Historic Decatur Rd,32.7338666666667,-117.217072222222,Weekly
135 SYS,Principal Downtown,231,1565,Across from 1782 Newton Ave ,32.7012472222222,-117.147997222222,Weekly
332 SYS,Principal Downtown,231,1565,1277 G St,32.7126972222222,-117.153008333333,Weekly
324 SYS,Imperial,240,8,4393 Redworks Drwy  (Behind Health Care Training),32.7034444444445,-117.101961111111,Monthly
219 SYS,La Jolla Sores,241,498,Across from 8415 El Paseo Grande,32.8591888888889,-117.255472222222,Weekly
44 SYS,Point Loma (20),260,3924,Voltaire St/Ebers St; @ a Fire Station Sample Stanchion,32.7488666666667,-117.241744444444,Weekly
43 SYS,Point Loma (37),260,1126,300 BLK of Rosecrans Sample Stanchion,32.7078555555556,-117.238925,Weekly
301 SYS,Stallion Crossing,263,46,13782 Rosecroft Way,32.9694,-117.237972222222,Monthly
48 SYS,La Jolla Towne,270,1240,Coast BL South/Eads Ave; Sample Stanchion,32.8457833333333,-117.277686111111,Weekly
131 SYS,Otay Regulated,270,2426,East Park Ave/San Ysidro Blvd; Sample Stanchion,32.5527333333333,-117.044161111111,Weekly
230 SYS,Rancho Santa Fe,284,156,Camto Mar De Plata & Camto Fortaleza,32.9831111111111,-117.246347222222,Weekly
248 SYS,Floral Terrace,295,208,2360 Beryl St; Sample Stanchion,32.8089,-117.228680555556,Weekly
321 SYS,Pacific Beach,307,8847,Haines St @ Felspar St.,32.8003861111111,-117.243008333333,Weekly
341 SYS,Pacific Beach,307,8847,1840 Quiveira Way,32.7595166666667,-117.233597222222,Weekly
249A SYS,Glidden,320,28,6429 Glidden St; Sample Stanchion,32.7760277777778,-117.179036111111,Monthly
245 SYS,Del Mar Terrace,328,248,12935 Via Latina; Sample Stanchion,32.9346805555556,-117.247905555556,Weekly
273 SYS,Archer,330,32,Dawes St & Archer St. (SE corner),32.8117055555556,-117.254088888889,Monthly
229 SYS,Carmel Valley,330,1698,Carmel Park Dr/Del Mar Glen; Public School,32.940875,-117.229486111111,Weekly
222A SYS,Torrey Pines,330,170,3550 Dunhill St,32.9031222222222,-117.229330555556,Weekly
255 SYS,Pacifica,340,22,4949 Pacifica Dr; Sample Box,32.8112111111111,-117.222591666667,Monthly
211 SYS,Princess Gardens,345,13,7228 Wembley St,32.8020583333333,-117.081797222222,Monthly
201 SYS,Carmel View,346,540,1880 Smythe Ave; Sample Stanchion,32.5637722222222,-117.049469444444,Weekly
209 SYS,Allied Gardens,355,1199,4605 Vandever Ave; (W.End or Public Park),32.7876222222222,-117.0956,Weekly
258 SYS,Prestwick Estates,355,34,8455 Westway Dr,32.859875,-117.249994444444,Monthly
265 SYS,Wabash Mesa,355,162,2023 Haller St.,32.7265222222222,-117.114383333333,Weekly
239 SYS,Arnold Hills,358,48,1761 Petra Dr,32.7242777777778,-117.118388888889,Monthly
330 SYS,Cornish Hill,360,31,775 Cornish Dr,32.7208,-117.253877777778,Monthly
300 SYS,Dennery Ranch,365,178,5368 Topsail Dr,32.588625,-117.014955555556,Weekly
216 SYS,La Jolla Hermosa,370,3100,5790 Chelsea Ave,32.8173555555556,-117.272613888889,Weekly
259 SYS,Rodefer,370,78,3945 Alameda Dr; Sample Box,32.748825,-117.183794444444,Monthly
253 SYS,Mar Villa,378,79,13200 Blk Caminito Mar Villa,32.9404194444444,-117.25775,Monthly
306 SYS,Princess Del Sol,390,2150,1332 Kenalan Dr,32.5725166666667,-117.048952777778,Weekly
173 SYS,University Heights (22),390,1864,Rancho Hills Dr/Reo Dr; @ Library/Sample Stanchion,32.6725055555556,-117.061258333333,Weekly
53 SYS,University Heights (418),390,28905,2433 Denver St; Public School/Sample Stanchion,32.7875,-117.203688888889,Weekly
138A SYS,University Heights (418),390,28905,4202 N.Harbor Dr & W.Spanish Landing Dr.,32.7287444444444,-117.210511111111,Weekly
140 SYS,University Heights (418),390,28905,45th St/Imperial Ave; Sample Stanchion,32.7039916666667,-117.098086111111,Weekly
174 SYS,University Heights (418),390,28905,3250 Camino Del Rio North; Sample Stanchion,32.7769583333333,-117.125505555556,Weekly
333 SYS,University Heights (418),390,28905,1329 Gertrude St; Sample Stanchion,32.7725888888889,-117.201752777778,Weekly
274 SYS,Ridgegate Reduced,425,44,Hillpointe Row & Carriage Dale Row,32.831775,-117.23455,Monthly
275 SYS,Mission City,430,122,Old Quarry Rd @ Questor Pl,32.7866111111111,-117.128872222222,Weekly
244 SYS,Del Mar Hills,435,396,13051 Portofino Dr; Sample Stanchion,32.9364944444444,-117.243575,Weekly
303A SYS,Riviera Shores,440,4,1469 Riviera Shores St ,32.5715805555556,-117.037719444444,Monthly
261 SYS,San Andress,440,134,Via Campestre & Camto Punta Arenas ,32.9845166666667,-117.244133333333,Weekly
314 SYS ,So La Jolla Cliffs,447,35,8555 Ruette Monte Carlo,32.8619277777778,-117.250080555556,Monthly
264 SYS,Tierrasanta Sur,450,292,10460 Viacha Dr; Sample Stanchion,32.81,-117.097094444444,Weekly
206 SYS,Catalina,462,4348,1055 Catalina Blvd; @ Fire Station Sample Stanchion,32.7256055555556,-117.244572222222,Weekly
215 SYS,Bay View,463,884,Across from 5105 Soledad Rd.,32.8115777777778,-117.240069444444,Weekly
207 SYS,College Canyon,468,93,5485 Adobe Falls Rd; Sample Stanchion,32.7814138888889,-117.080983333333,Monthly
278 SYS,Arroyo Sorrento,470,1220,Across from 3750 Torrey View Ct ,32.9209722222222,-117.233663888889,Weekly
247A SYS,El Camino,470,1,9151 Rehco Rd; Sample Stanchion,32.8893611111111,-117.172325,Monthly
286 SYS,Lusk Park (16),470,262,Between Reedley and Drakewood on open space area,32.9663277777778,-117.214130555556,Weekly
221 SYS,Lusk Park (50),470,83,54551/2 Oberlin Dr,32.8915027777778,-117.199691666667,Monthly
179 SYS,Lusk Park (81),470,3907,13075 Hartfield Ave @ Del Mar Heights,32.9563638888889,-117.230022222222,Weekly
276A SYS,Lusk Park(24),470,94,5285 Setting Sun Way,32.9096861111111,-117.200544444444,Monthly
277A SYS,Penasquitos Park VW,470,885,Across from 12241 Camino Del Sur,32.9419861111111,-117.151625,Weekly
339 SYS,Pinnacle Zone,470,7,11911 Carmel Creek Rd,32.9347416666667,-117.226577777778,Monthly
270A SYS,Rancho Del Sol,470,180,Rancho Del Sol Way & Rancho Del Azalea Way,32.9648888888889,-117.178341666667,Weekly
342 SYS,Paraduse Hills #1,472,1863,2883 Keen Dr & Parkside Ave,32.6703444444444,-117.048013888889,Weekly
204A SYS,Bay Terrace,490,195,2787 Alta View Drive,32.67575,-117.043105555556,Weekly
200 SYS,So San Diego Resv,490,423, Otay Mesa Rd/Beyer Blvd,32.5591027777778,-117.040905555556,Weekly
128 SYS,So San Diego Resv (65),490,423,Firethorn St/Palm Ave; Sample Stanchion,32.5838777777778,-117.039486111111,Weekly
279 SYS,Carmel Country,495,245,10885 Cloverhurst ,32.9318055555556,-117.201652777778,Weekly
251 SYS,La Jolla Mesa Vista,495,261,5840 Ravenswood Rd;,32.8184611111111,-117.263538888889,Weekly
250 SYS,La Jolla Gardens,500,450,7474 Charmant Dr. Sample Stanchion,32.8654138888889,-117.228205555556,Weekly
280 SYS,La Mirage,500,61,6542 Reflection Dr,32.7929694444444,-117.10775,Monthly
213 SYS,Murphy Canyon,500,29,4455 Murphy Canyon Rd; Sample Stanchion,32.8249777777778,-117.119125,Monthly
304 SYS,Black Mtn Ranch,520,167,14462 Garden Trail,32.9847055555556,-117.163833333333,Weekly
153 SYS,Alvarado (100),536,4106,5552 Gala Avenue,32.7998722222222,-117.069916666667,Weekly
60 SYS,Alvarado (181),536,29438,9th Ave & University Ave @ Fire Station,32.7485722222222,-117.156455555556,Weekly
144 SYS,Alvarado (181),536,29438,Brookline & Date,32.7235194444444,-117.091444444444,Weekly
148 SYS,Alvarado (181),536,29438,Upas & Richmond,32.7410722222222,-117.1511,Weekly
285 SYS,Alvarado (35),536,541,Jamacha Rd and 68th St. (SE corner near playground of Boys Club),32.7104444444444,-117.051072222222,Weekly
334 SYS,Alvarado (41),536,1464,6070 Division St,32.6944583333333,-117.067744444444,Weekly
155 SYS,Normal Heights,536,5254,Adams & Marlborough,32.7629361111111,-117.106386111111,Weekly
305 SYS,Remington Hills,543,251,4948 1/2 Carbine way,32.5647305555556,-117.033208333333,Weekly
205 SYS,Hillsborough,550,442,1848 Manzana Way; Sample Stanchion,32.6873194444444,-117.023755555556,Weekly
302 SYS,Riviera Del Sol,550,123,4610 Pacific Riviera Way,32.5703388888889,-117.03535,Weekly
50A SYS,Northwest Mesa,559,33770,2693 Melbourne Dr.,32.7934305555556,-117.124922222222,Weekly
52 SYS,Northwest Mesa,559,33770,MT. Abernathy Ave & Chateau Dr @ Library,32.8223527777778,-117.175144444444,Weekly
55A SYS,Northwest Mesa,559,33770,5183 Arvinels Ave.,32.8400833333333,-117.175058333333,Weekly
57 SYS,Northwest Mesa,559,33770,Idlewild way & Hidalgo Ave; @ Public School,32.8320777777778,-117.220747222222,Weekly
